电影名,链接,上映时间,类型,时长,评分,语言,导演,作者,slogan,简介
蜘蛛侠：崭新之日,https://www.themoviedb.org/movie/969681-spider-man-brand-new-day,2026-07-30,"科幻,动作,冒险",145,79,英语,德斯汀·丹尼尔·克雷顿,"克里斯·麦肯纳,埃里克·萨默斯",纵使被遗忘，依然在守护,重建普通生活后，彼得一边在大学完成学业、一边从事兼职以维持生计，同时仍肩负着守护纽约街头的蜘蛛侠责任。然而，当一个神秘力量从内部腐蚀这座城市的安全与秩序，彼得被迫再次披上战衣。他必须在强大的敌人与昔日纽带之间找到平衡，并重新定义英雄的意义。
奥德赛,https://www.themoviedb.org/movie/1368337-the-odyssey,2026-07-16,"冒险,动作,奇幻",173,80,英语,克里斯托弗·诺兰,克里斯托弗·诺兰,违抗神明，逆天而行,特洛伊战争结束后，伊萨卡国王奥德修斯踏上了返回家乡的艰险旅程。
Spider-Man: No Way Home,https://www.themoviedb.org/movie/634649-spider-man-no-way-home,2021-12-16,"动作,冒险,科幻",148,79,英语,乔恩·沃茨,"克里斯·麦肯纳,埃里克·萨默斯",多元宇宙开启,在费了九牛二虎之力好不容易打败了神秘客之后，蜘蛛侠彼得·帕克（汤姆·赫兰德 Tom Holland 饰）却被濒死之际的神秘客揭露了真实身份。随后主流媒体对超能力者滥用权力造成普通平民生活无数困扰的行为大加挞伐，一时间彼得的生活乱作一团，甚至影响到了MJ（赞达亚 Zendaya 饰）和好朋友内德（雅各布·巴特朗 Jacob Batalon 饰）的生活。备受困扰的彼得找到了奇异博士（本尼迪克特·康伯巴奇 Benedict Cumberbatch 饰），希望对方施展一条能够让世人忘记他真实身份的咒语。谁知乱中出错，这条咒语将其他宇宙中认识彼得·帕克的人陆续带来，其中包括章鱼博士、绿魔、沙人等其他蜘蛛侠的死对头。  　　担心这些“对手”回到各自宇宙后迎来灭亡的命运，彼得决定拯救他们，却无意中带来让他无法承受的因果……
超级少女,https://www.themoviedb.org/movie/1081003-supergirl,2026-06-24,"动作,冒险,科幻",108,68,英语,克雷格·吉勒斯佩,Ana Nogueira,锋芒所向，群星避让,当一位冷酷无情、突如其来的劲敌突袭家园，“超级少女”卡拉·佐-艾尔不得不与一位意想不到的同伴结盟，横跨星际，踏上一段交织复仇与正义的壮阔征途。
揭秘日,https://www.themoviedb.org/movie/1275779-disclosure-day,2026-06-11,"科幻,惊悚",146,74,英语,史蒂文·斯皮尔伯格,,我们有权知道。,如果有人告诉你，我们并非宇宙中唯一的智慧生命，并且向你展示、证明了这一点，你会感到恐惧吗？今年夏天，真相将属于七十亿人。我们正一步步接近……揭秘日。
痴迷,https://www.themoviedb.org/movie/1339713-obsession,2026-06-25,"恐怖,惊悚",108,82,英语,Curry Barker,Curry Barker,许愿需谨慎,在折断神秘的“心愿柳”以赢得暗恋对象的心之后，一个对爱情充满幻想的人如愿以偿地得到了自己想要的一切，但很快他发现，有些欲望需要付出黑暗而可怕的代价。
The Odyssey,https://www.themoviedb.org/movie/1698863-the-odyssey,2026-07-03,"冒险,奇幻,动作",86,62,英语,Marcel Walz,Joshua Pruett,The most epic voyage of all time!,"Based on the Ancient Greek epic. After ten years of war, King Odysseus sets sail for Ithaca, eager to reunite with his beloved. But his journey home is far more treacherous than the battlefield, as he must face deadly monsters and vengeful gods to survive."
宇宙巨人：希曼崛起,https://www.themoviedb.org/movie/454639-masters-of-the-universe,2026-06-04,"动作,奇幻,科幻",141,73,英语,特拉维斯·奈特,,"Legends aren't born, they're forged.",亚当（尼古拉斯·加利齐纳 饰）在神秘圣剑的召唤下，尘封十五年的异世界王子身份觉醒，平凡人生被彻底颠覆。他跨越时空重返埃坦尼亚，但故乡早已在骷髅王的统治下分崩离析。为拯救曾经的家园与现在的世界，亚当必须再次拔出圣剑，喊出那句响彻寰宇的咒语——“赐予我力量吧！我是希曼！”
罗宾汉之死,https://www.themoviedb.org/movie/1284465-the-death-of-robin-hood,2026-07-09,"冒险,剧情,动作",123,65,英语,迈克尔·萨诺斯基,迈克尔·萨诺斯基,他不是英雄,罗宾汉一生沉沦于罪恶和杀戮，饱受过往阴影的折磨。一场他以为是绝唱的战斗后，他身负重伤。一位神秘女子给了他救赎的希望。
玩具总动员5,https://www.themoviedb.org/movie/1084244-toy-story-5,2026-06-18,"动画,家庭,喜剧,冒险",102,74,英语,安德鲁·斯坦顿,,It's on.,胡迪、巴斯光年、翠斯等“元老级”玩具将跟随小主人邦妮的成长脚步，共同迎接数字时代下的全新挑战。随着无所不能的科技产品逐渐走进童年世界，一批充满科技感的崭新角色也随之重磅亮相：青蛙造型的智能平板小荷、憨态可掬的导航玩具小不丢、活力十足的抓拍好手小拍侠，以及自带笑点的臭屁小机灵。当身边的同龄朋友们开始沉浸在科技玩具带来的“电子陪伴”中，而玩具伙伴们也迎来了前所未有的生存难题：在屏幕占据注意力的时代，玩具的时代真的结束了吗？在“被取代”危机的当下，这群玩具伙伴还能否携手，帮助邦妮找回属于自己的真实友谊与快乐？
恶魔之口,https://www.themoviedb.org/movie/1481343-the-devil-s-mouth,2026-07-29,"恐怖,惊悚",106,65,英语,杰夫·瓦德洛,"杰夫·瓦德洛,Aja Gabel,Myung Joh Wesner",Paradise has an appetite.,五个好友在进入社会之前来到泰国的恶魔之口洞穴系统进行最后一次冒险。但他们很快就发现水下有生物正在追捕他们，行动迅速、悄无声息、且致命。在令人窒息的黑暗中，信任逐渐瓦解，恐慌蔓延，每一次错误的抉择都成为生死的挣扎。
海洋奇缘：启航,https://www.themoviedb.org/movie/1108427-moana,2026-07-09,"家庭,奇幻,喜剧,冒险",115,59,英语,Thomas Kail,,解封魔咒 向险而行 回应海洋深处的召唤,海的召唤，从未停止。熟悉的旋律响起，属于“莫阿娜”的冒险，再次扬帆启航。
小黄人与大怪兽,https://www.themoviedb.org/movie/1315772-minions-monsters,2026-07-01,"冒险,动画,喜剧,家庭,奇幻",90,64,英语,皮埃尔·科芬,"皮埃尔·科芬,布莱恩·林奇",Hollywood has a monster problem.,为了拍摄心中理想的怪兽电影，这群萌趣活宝四处物色演员，竟然真的集齐了各式怪兽，上演疯狂大乱斗！
后室,https://www.themoviedb.org/movie/1083381-backrooms,2026-06-18,"恐怖,悬疑,科幻",111,71,英语,凯恩·帕森斯,Will Soodik,See how far it goes.,一位心理治疗师的病人，在一次诡异的事故中“切入”到了一个超越现实的奇异维度。为了带回病人，这位治疗师不得不亲自踏入那片无边无际、充满黄色壁纸和嗡嗡荧光灯响声的未知迷宫。
妇女乐园,https://www.themoviedb.org/movie/47612-au-bonheur-des-dames,1930-07-03,"剧情,爱情",85,63,法语,朱利安·杜维威尔,,,"Denise, an orphaned girl, moves to Paris where she hopes to find work at her uncle's store. But the glamorous department store 'Aux Bonheur des Dames' across the street crushes all the little businesses around. She finds a position there."
