名称,链接,上映时间
蜘蛛侠：崭新之日,https://www.themoviedb.org/movie/969681-spider-man-brand-new-day,2026 年 07 月 30 日
奥德赛,https://www.themoviedb.org/movie/1368337-the-odyssey,2026 年 07 月 16 日
超级少女,https://www.themoviedb.org/movie/1081003-supergirl,2026 年 06 月 24 日
Spider-Man: No Way Home,https://www.themoviedb.org/movie/634649-spider-man-no-way-home,2021 年 12 月 16 日
揭秘日,https://www.themoviedb.org/movie/1275779-disclosure-day,2026 年 06 月 11 日
宇宙巨人：希曼崛起,https://www.themoviedb.org/movie/454639-masters-of-the-universe,2026 年 06 月 04 日
痴迷,https://www.themoviedb.org/movie/1339713-obsession,2026 年 06 月 25 日
罗宾汉之死,https://www.themoviedb.org/movie/1284465-the-death-of-robin-hood,2026 年 07 月 09 日
玩具总动员5,https://www.themoviedb.org/movie/1084244-toy-story-5,2026 年 06 月 18 日
恶魔之口,https://www.themoviedb.org/movie/1481343-the-devil-s-mouth,2026 年 07 月 29 日
海洋奇缘：启航,https://www.themoviedb.org/movie/1108427-moana,2026 年 07 月 09 日
小黄人与大怪兽,https://www.themoviedb.org/movie/1315772-minions-monsters,2026 年 07 月 01 日
后室,https://www.themoviedb.org/movie/1083381-backrooms,2026 年 06 月 18 日
The Odyssey,https://www.themoviedb.org/movie/1698863-the-odyssey,2026 年 07 月 03 日
安昂传奇：最后的气宗,https://www.themoviedb.org/movie/980431-avatar-aang-the-last-airbender,2026 年 07 月 24 日
群体,https://www.themoviedb.org/movie/1375646,2026 年 05 月 27 日
利未记,https://www.themoviedb.org/movie/1564614-leviticus,2026 年 06 月 17 日
蜘蛛侠,https://www.themoviedb.org/movie/557-spider-man,2002 年 05 月 03 日
惊声尖笑6,https://www.themoviedb.org/movie/1273221-scary-movie,2026 年 06 月 04 日
蜘蛛侠：英雄归来,https://www.themoviedb.org/movie/315635-spider-man-homecoming,2017 年 07 月 06 日
